JP11,"Japan
日本","Tokyo Institute of Technology (Tokyo Tech)
東京工業大學",56,4 sem. slots,"全校大學部二年級以上及研究所學生
U-wide UG yr.2 above and PG students
YSEP-Research (one-year program): UG yr.4 (not master)
YSEP-Experiencing Japan (half-year program): UG yr.3 2nd sem. or yr.4 (not master)
ACAP-Research: UG yr.4 or PG
ACAP-Course: UG yr.2 above or PG","YSEP: Proficiency in English or Japanese is required (need official test result but no cut-off score)
ACAP-Course: JLPT required for UG students except yr.4 students",,YSEP參考網頁 Link
,,,,,,,,ACAP參考網頁 Link
,,,,,,,,Fact Sheet
,,,,,,,,List of PG courses available to UG students
,,,,,,,,List of Syllabus for PG courses
,,,,,,,,Tokyo Tech OCW
,,,,,,,,需額外申請文件 Extra application document is required
JP12,"Japan
日本","Kindai University
近畿大學",N/A,2/sem.,"全校大學部學生
U-wide UG students",iBT61/JLPT N2,平均分數Avg. Score: 80+,交換計畫資訊 Exchange Program Fact Sheet
,,,,,,,,僅可交換一學期；未曾於日本就學者；不接受畢業前最後一學期學生交換 only 1-sem. exchange; for students who have never studied in Japan; students in last semester before graduation not accepted
JP13,"Japan
日本","Kanazawa University
金澤大學",591-600,4,"全校大學部及研究所學生
U-wide UG & PG students",JLPT N2/iBT60/ IELTS5.5/ TOEIC600,,參考網頁 Link
,,,,,,,,KUEP Brochure 2020
,,,,,,,,需額外申請文件 Extra application document is required
JP14,"Japan
日本","Saitama University
埼玉大學",801-1000,6 sem. slots,"理學院研究所學生
PG students of the College of Science",,,參考網頁 Link
,,,,,,,,赴該校理工研究所交換 Exchange to the Graduate School of Science & Engineering
JP15,"Japan
日本","University of Tsukuba
筑波大學",265,7,"全校大學部及研究所學生
U-wide UG & PG students",College of Japanese Language & Culture: JLPT N2,,參考網頁 Link
JP16,"Japan
日本","Ehime University
愛媛大學",N/A,3 students,"理學院學生
Students of the College of Science",,,參考網頁 Link
,,,,,,,,UG僅有日文授課課程，PG有部分英文授課課程 UG only offers Japanese taught courses; PG offers some English taught courses
JP15,"Japan
日本","Gunma University
群馬大學",701-750,5 students,"工學院大學部以及研究所學生
UG & PG students of College of Engineering",JLPT N2,,參考網頁 Link
,,,,,,,,"交換至交換至該校College of Science and Technology 學院，課程多為日語授課。
Exchange to College of Science and Technology with most courses taught in Janpanese"
JP16,"Japan
日本","The University of Electro- Communications (UEC)
電氣通信大學",N/A,4,"理工領域大三以上及研究所學生
UG yr. 3 and PG students in field of Science & Engineering",iBT79/IELTS6.5,平均分數Avg. Score: 80+,參考網頁 Link
JP17,"Japan
日本","Toyohashi University of Technology
豐橋技術科學大學",N/A,5 students,"全校大學部及研究所學生
U-wide UG & PG students","iBT61/
IELTS5.5/
TOEIC590/
JLPT N1",,參考網頁 Link
,,,,,,,,Fact Sheet
,,,,,,,,"交換學生領域(Available field of study):
1) Mechanical Engineering
2) Computer Science & Engineering
3) Electrical & Electronic Informatics Engineering
4) Environmental & Life Science
5) Architecture & Civil Engineering"
JP18,"Japan
日本","Kwansei Gakuin University (KGU)
關西學院大學",N/A,1 sem. slot,"全校大學部及研究所學生
U-wide UG & PG students","各program要求不同
Varies for different programs",,參考網頁 Link
,,,,,,,,Fact Sheet
,,,,,,,,Brochure
,,,,,,,,Intro
,,,,,,,,需額外申請文件 Extra application document is required
KR01,"Korea
韓國","Chung-Ang University
中央大學",403,4/sem.,"全校大學部及碩士班學生
U-wide UG & Master students",,,參考網頁 Link
,,,,,,,,Fact Sheet
,,,,,,,,Courses Taught in English
,,,,,,,,Services for Exchange Students
,,,,4 sem. slots,"社文所、亞際學程之研究所學生
PG students of the Institute of Social Research and Culture Studies and International Center for Cultural Studies",,,參考網頁 Link
,,,,,,,,交換至該校社會學系 Exchange to the Department of Sociology
KR02,"Korea
韓國","University of North Korean Studies
北韓研究大學",N/A,1/sem.,"社文所、亞際學程之研究所學生
PG students of the Institute of Social Research and Culture Studies and International Center for Cultural Studies",TOPIK Level 5,,參考網頁 Link
,,,,,,,,"課程皆以韓文授課，須具備韓語溝通能力
Courses are all taught in Korean; Korean proficiency is a must"
KR03,"Korea
韓國","Chonnam National University
全南國立大學",701-750,5 students,"全校大學部二年級以上及研究所學生
U-wide UG Yr.2 above & PG students",,平均分數Avg. Score: 67+,參考網頁 Link
,,,,,,,,Course List
,,,,,,,,Fact Sheet
KR04,"Korea
韓國","Sungkyunkwan University
成均館大學",88,2,"全校大學部及研究所學生
U-wide UG & PG students",Business Administration majors: iBT80/ IELTS6/ English B2/ TOPIK 3,平均分數Avg. Score: 70+,參考網頁 Link
,,,,,,,,Fact Sheet
KR05,"Korea
韓國","Sogang University
西江大學",490,3/sem.,"全校大學部及研究所學生
U-wide UG & PG students","建議 Recommend
English courses: iBT79/IELTS6.5
Korean courses: TOPIK Level 4",,參考網頁 Link
,,,,,,,,Information Sheet
KR06,"Korea
韓國","Yonsei University 
延世大學",85,1 sem. slot,"GMBA、經管所、管科所、科管所碩班學生
Master students of GMBA, MBA, Mgt. Science & Mgt. of Technology",iBT100/IELTS7,,參考網頁 Link
,,,,,,,,Fact Sheet
,,,,,,,,"大學部不得申請；赴該校商學院交換
UG students cannot apply; Exchange to School of Business"
,,,,4 sem. slots,"傳播與科技學系大學部及研究所學生
UG & PG students of the Department of Communication & Technology","iBT79/IELTS6.5/
TOPIK Level 4","平均分數
Avg. Score:
65+",參考網頁 Link
,,,,,,,,交換至該校傳播系 Exchange to the Department of Communication
